Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,0.0000560087,0.0000451186,0.0000451127,0.0000513339,-0.0000186696,0.0000404498,-0.0000031106,0.0000497816,0.0000420021,0.0001275645,0.0000591134,0.0000902313,0.0000326703,0.0000155590,,,
0.0078125000,0,0.0004773663,0.0003745658,0.0003729694,0.0004628086,-0.0001606784,0.0003756111,-0.0000262530,0.0004854880,0.0004353836,0.0011061812,0.0004864639,0.0007864267,0.0002570615,0.0001002028,,,
0.0117187500,0,0.0019971288,0.0015343243,0.0015210575,0.0020778033,-0.0006907655,0.0017262512,-0.0001052712,0.0023513712,0.0021983494,0.0047098369,0.0019438176,0.0033976137,0.0009644522,0.0002546596,,,
0.0156250000,1,0.0055745797,0.0042691376,0.0042076182,0.0063218649,-0.0020387042,0.0053011516,-0.0002683981,0.0076265526,0.0072763544,0.0133398767,0.0051304969,0.0099149890,0.0023330567,0.0001891492,,,
0.0195312500,1,0.0119109456,0.0094386815,0.0092145518,0.0149427417,-0.0047873887,0.0123458276,-0.0004953377,0.0187979433,0.0179231140,0.0286750778,0.0103310214,0.0224574273,0.0041928788,-0.0007295556,,,
0.0234375000,1,0.0211716950,0.0183675690,0.0176651168,0.0296878137,-0.0097382035,0.0233436977,-0.0007329873,0.0377688734,0.0353592991,0.0503946365,0.0175385778,0.0428659535,0.0062731946,-0.0029662470,,,
0.0273437500,1,0.0331788934,0.0334605346,0.0315938395,0.0520563392,-0.0179446371,0.0372421511,-0.0009940983,0.0646271490,0.0587844077,0.0757545719,0.0273199074,0.0727073216,0.0089425321,-0.0058600171,,,
0.0312500000,2,0.0478515801,0.0582914983,0.0541913254,0.0829551039,-0.0304240138,0.0510717402,-0.0014502508,0.0969421864,0.0858302300,0.0999245755,0.0417116608,0.1133156057,0.0138797269,-0.0068340973,,,
0.0351562500,2,0.0654218729,0.0964337059,0.0891132787,0.1220249706,-0.0473836962,0.0601965051,-0.0024104684,0.1298943824,0.1143621751,0.1165941441,0.0641302268,0.1653127405,0.0240360472,-0.0014477765,,,
0.0390625000,2,0.0860216209,0.1490383484,0.1387049210,0.1666716562,-0.0672152642,0.0592671442,-0.0042059562,0.1569400254,0.1440898336,0.1186340704,0.0977742938,0.2273740362,0.0426370294,0.0153738045,,,
0.0429687500,2,0.1085806027,0.2120836067,0.2015911863,0.2111912534,-0.0858945196,0.0437191004,-0.0071157056,0.1704248805,0.1760898091,0.0990486427,0.1429801221,0.2945655713,0.0714926505,0.0471575154,,,
0.0468750000,3,0.1295713069,0.2747392568,0.2706206288,0.2465503551,-0.0973418309,0.0113555194,-0.0113858502,0.1620133753,0.2099589932,0.0524555557,0.1948559784,0.3570649384,0.1093076109,0.0935811721,,,
0.0507812500,3,0.1425172534,0.3199846228,0.3322952410,0.2612237846,-0.0947562307,-0.0365785726,-0.0172317817,0.1234770166,0.2405278580,-0.0231239104,0.2425908042,0.4001495036,0.1507886133,0.1491336862,,,
0.0546875000,3,0.1387669850,0.3275595664,0.3681930597,0.2431000961,-0.0725328226,-0.0951591486,-0.0247309655,0.0482134983,0.2560311532,-0.1246492531,0.2709451949,0.4058271838,0.1869531741,0.2033232297,,,
0.0585937500,3,0.1094172221,0.2784868266,0.3581591415,0.1820987355,-0.0282357538,-0.1563625747,-0.0335939750,-0.0666075556,0.2385571481,-0.2430890414,0.2635173667,0.3558972306,0.2065702423,0.2423782746,,,
0.0625000000,4,0.0480554655,0.1601801384,0.2847797854,0.0728881751,0.0360958376,-0.2103164289,-0.0427779205,-0.2174013520,0.1677742461,-0.3636224042,0.2069763525,0.2359519421,0.1984748430,0.2521329973,,,
0.0664062500,4,-0.0464056175,-0.0291101184,0.1381965471,-0.0830593794,0.1139524211,-0.2469781271,-0.0500296606,-0.3917064310,0.0280171541,-0.4673503489,0.0950854934,0.0395078793,0.1542650585,0.2214161030,,,
0.0703125000,4,-0.1679841488,-0.2779200850,-0.0802384676,-0.2766777198,0.1956804218,-0.2579170963,-0.0517164178,-0.5674869003,-0.1838123391,-0.5342365394,-0.0688082679,-0.2288514193,0.0706139611,0.1448553451,,,
0.0742187500,4,-0.3038554996,-0.5621107769,-0.3567216357,-0.4918802403,0.2704854793,-0.2379403819,-0.0433404671,-0.7155054535,-0.4532379129,-0.5465333777,-0.2715747272,-0.5522664937,-0.0495006541,0.0242342657,,,
0.0781250000,5,-0.4365513946,-0.8481684918,-0.6664608149,-0.7071656366,0.3283090350,-0.1863320088,-0.0207988287,-0.8046047229,-0.7484684186,-0.4919747563,-0.4922731625,-0.9027092143,-0.1969903774,-0.1317644703,,,
0.0820312500,5,-0.5473519795,-1.0982897235,-0.9771357258,-0.8978613361,0.3611019267,-0.1073999344,0.0180390404,-0.8083125039,-1.0258634109,-0.3663156089,-0.7055747210,-1.2441701421,-0.3582045913,-0.3089970613,,,
0.0859375000,5,-0.6197663729,-1.2759482731,-1.2531669763,-1.0387803254,0.3634580788,-0.0100381157,0.0720985049,-0.7107543478,-1.2386239455,-0.1749948840,-0.8857003759,-1.5372031356,-0.5173630275,-0.4898468400,,,
0.0898437500,5,-0.6421643345,-1.3508303744,-1.4597956496,-1.1071509371,0.3327588414,0.0937318851,0.1366431519,-0.5104286522,-1.3461478772,0.0663737879,-1.0100105165,-1.7438662805,-0.6590727425,-0.6552856860,,,
0.0937500000,6,-0.6091054469,-1.3024988343,-1.5665409205,-1.0855610837,0.2688938146,0.1908819501,0.2035810598,-0.2213181692,-1.3218945712,0.3331025303,-1.0616136172,-1.8321601004,-0.7700562075,-0.7867905156,,,
0.0976562500,6,-0.5214456222,-1.1226241424,-1.5500627447,-0.9644802958,0.1735708077,0.2695599060,0.2623033874,0.1285293629,-1.1582050204,0.5943472800,-1.0307099205,-1.7793710415,-0.8395844082,-0.8680477961,,,
0.1015625000,6,-0.3856042189,-0.8159066958,-1.3965315869,-0.7438678015,0.0494729130,0.3208074446,0.3009284135,0.5005708304,-0.8670175785,0.8174808726,-0.9147776451,-1.5741362024,-0.8588136231,-0.8863701780,,,
0.1054687500,6,-0.2123386671,-0.3998514276,-1.1034003452,-0.4335359104,-0.1000795787,0.3396045404,0.3079451986,0.8510335425,-0.4761721031,0.9729505953,-0.7179769818,-1.2173630601,-0.8198443144,-0.8336946638,,,
0.1093750000,7,-0.0151980174,0.0965629939,-0.6802974060,-0.0522770169,-0.2702507386,0.3253555434,0.2741688644,1.1372340946,-0.0223284158,1.0385047382,-0.4501710234,-0.7222338566,-0.7154407813,-0.7070816630,,,
0.1132812500,7,0.1912101296,0.6353332898,-0.1488204989,0.3739127553,-0.4525238529,0.2820227775,0.1947394452,1.3239452343,0.4570294008,1.0020636554,-0.1258296946,-0.1134604857,-0.5399270625,-0.5088089692,,,
0.1171875000,7,0.3928942482,1.1728682250,0.4587616011,0.8140925582,-0.6322748695,0.2179177130,0.0707860553,1.3885315570,0.9295437319,0.8630772707,0.2370278162,0.5741178680,-0.2911437957,-0.2463053258,,,
0.1210937500,7,0.5777993995,1.6640528414,1.1017143642,1.2348657227,-0.7878777923,0.1448655567,-0.0896442376,1.3237605622,1.3700303851,0.6325627476,0.6177569467,1.2975394646,0.0271229095,0.0679046539,,,
0.1250000000,8,0.7366050918,2.0664564249,1.7337336108,1.6030245592,-0.8928122979,0.0763853520,-0.2717429895,1.1379146164,1.7588630429,0.3320506738,0.9938963164,2.0082931689,0.4030192079,0.4163657472,,,
0.1289062500,8,0.8630224147,2.3442102074,2.3063399182,1.8882397787,-0.9207733497,0.0249224457,-0.4553439504,0.8526712927,2.0786478664,-0.0084579539,1.3420439417,2.6554089269,0.8155489361,0.7773015199,,,
0.1328125000,8,0.9536942426,2.4711406168,2.7725390145,2.0655142675,-0.8520555513,-0.0011123857,-0.6174033778,0.4996461140,2.3114792301,-0.3535175388,1.6390166464,3.1889232217,1.2350689102,1.1258798846,,,
0.1367187500,8,1.0077789998,2.4328398107,3.0904519583,2.1170754657,-0.6787651282,0.0006891482,-0.7350778808,0.1163620067,2.4381696598,-0.6661709110,1.8632900579,3.5634586568,1.6254777019,1.4360114245,,,
0.1406250000,9,1.0262898703,2.2275470422,3.2266717917,2.0335389628,-0.4072732261,0.0265880106,-0.7887958647,-0.2579571128,2.4395598092,-0.9124396621,1.9963883380,3.7416090609,1.9477523830,1.6823179800,,,
0.1445312500,9,1.0112588942,1.8659570672,3.1592049014,1.8144034091,-0.0580344854,0.0681635262,-0.7648204380,-0.5866049180,2.2990339542,-1.0656562458,2.0238470376,3.6968910013,2.1641793507,1.8419481729,,,
0.1484375000,9,0.9647381033,1.3701503744,2.8797405713,1.4680604020,0.3361489751,0.1142300724,-0.6570866634,-0.8394566884,2.0050455049,-1.1097432996,1.9358539140,3.4161456302,2.2426262848,1.8961790367,,,
